Ticker,MSE,MAE,MAPE,R2
ABRA.TA,25.90775401,4.04854776,0.01474078,0.934405378
ACCL.TA,5.545714325,1.93371458,0.016491708,0.97884691
ACKR.TA,14172.62274,80.69818393,0.112100088,-0.08787079
ACRO.TA,37811.03898,147.503602,0.02902436,0.861681432
ADGR.TA,512.6002746,17.24780224,0.036309431,0.729547858
ARDM.TA,27.42472894,3.153909947,0.050755054,0.928790906
AFHL.TA,211905.4201,395.9584683,0.038826436,0.957054556
AFPR.TA,372823.4735,455.618966,0.027296505,-0.624883107
AFRE.TA,7239287.238,1896.463113,0.072201814,-0.266614376
AICS-M.TA,98989.01212,167.4173427,1.036387915,-0.342552076
ARPT.TA,118213.419,302.0924797,0.053321137,-0.547241123
ARTS.TA,162.6647353,9.337401857,0.264358971,-2.812074978
ALAR.TA,36584.4294,151.2517464,0.257033748,0.680577829
ALBA.TA,20321.26316,113.1408949,0.071757351,0.630419747
ALMD.TA,0.991634701,0.803397217,0.022029103,0.878916468
ALLT.TA,35881.60486,134.8143583,0.103647901,0.506605951
ALMY.TA,93420.30224,203.5000214,6.538976085,0.593851474
ALMA.TA,16158.68695,85.16966044,0.088519272,0.036372041
ALHE.TA,90146.43507,201.6924999,0.069760119,-0.848320209
ALRPR.TA,409285.3412,468.1767499,0.031847532,0.861710552
ALUMA.TA,62.43738659,6.619476343,0.172249938,-1.881134936
AMAN.TA,597.0530795,19.37253974,0.012594289,0.695827883
AMD.TA,10483.08265,71.97692648,0.078757089,-18.9595205
AMRK.TA,9695.561379,75.28724633,0.028529551,0.806731765
AMOT.TA,2860.589108,39.1826152,0.022658226,0.934956111
ANGL.TA,31405.99757,140.2220449,0.042356062,0.686871782
APLP.TA,53592.27235,146.0383726,0.335016317,-3.81807635
AQUA.TA,13630.87392,85.0471714,0.603970773,-22.10937564
ARD.TA,5837.543033,57.87374952,0.011666897,0.890889902
ARAD.TA,122633445.7,8483.494744,0.867097207,-19.44716727
ARAN.TA,6484.437796,66.17128053,0.034514253,-0.574654791
ARBE.TA,6219.565895,75.09230143,0.117894617,-42.62408124
ARGO.TA,292247.0027,433.2187994,0.046055976,-0.262006049
ARIN.TA,441.018988,16.76057633,0.077696063,-2.89840041
ARYT.TA,27068.07562,122.0706167,0.202771696,-0.896803744
ARF.TA,842171.0446,605.6322058,0.107073458,-10.14164749
ASHO.TA,1657885.006,1088.157173,0.250137436,-1.951186684
ASHG.TA,41784.67181,171.7669072,0.031902763,0.914362755
ASGR.TA,647.0810621,20.13390046,0.036400853,0.846862636
AUDC.TA,24641.70066,119.8736979,0.033899717,0.734909026
AUGN.TA,13185.93316,90.34698846,0.267603604,0.567072816
AURA.TA,164199.7593,352.6005125,0.19942579,-2.159183316
AUSA-M.TA,8001.195202,58.43077746,1.140906968,-0.613107455
AUIS.TA,229179.2403,360.6287302,4.983206269,-4.864241389
AMX.TA,125.8483423,5.739669086,0.287743998,-34.9400781
AVER.TA,106191.06,306.1929932,0.326853752,-6.276124825
AVGD.TA,117755.5385,299.047521,0.167214183,-2.098268337
AVGL.TA,101.2389328,9.411420434,0.073037582,-0.205057882
AVIA.TA,21919.8572,76.74958401,0.478900652,0.240138684
AVIV.TA,1039.139759,25.42702478,0.016761798,0.987796309
AVRT.TA,1072.946623,21.49220938,0.478852787,-0.722728011
AYAL.TA,49157.51099,124.0134972,0.045992812,0.819761763
AZRM.TA,16765.4262,91.38637834,0.046219377,0.521282097
AZRG.TA,1444762.059,914.7493331,0.033342545,0.72159601
BCOM.TA,8493.288184,63.03893249,0.044867098,0.833078647
BKFR.TA,3908.255441,49.03200531,0.039599752,0.695951714
BRAN.TA,36573.84169,144.6909428,0.109676042,-0.449081044
BRKT.TA,69.22085544,5.655240945,0.033694511,0.819181302
BVC.TA,66.01818222,7.490075398,0.082328393,-0.60480502
ORL.TA,72.92402785,7.459800906,0.081505409,-5.485126864
BHNY.TA,221978.3968,420.7198739,1.735324204,-74.50384662
BSEN.TA,77625583.93,8050.07271,0.303369334,-4.144451704
BEZQ.TA,868.9016209,21.56060096,0.045376005,0.611812474
BIG.TA,2358380.359,1057.777915,0.023771862,0.868699624
BIGT.TA,375.8007812,16.22852788,0.106670226,-0.789669012
BKRY.TA,2217.099124,43.04762894,0.138591006,-4.611449341
BIOV.TA,608735.752,510.8146784,19.10411117,-143932.6573
BOLT.TA,6689.04868,47.78809948,1.262197186,-1.490468824
BLRX.TA,19.85032158,1.936840519,0.21188101,-0.253304567
BIMT.TA,3.751975433,1.614610672,0.069397019,-0.453119659
BLSR.TA,17982010.89,3402.505812,0.112793261,-1.013338557
BOTI.TA,46084.46674,154.1027971,0.040270154,0.832933035
BONS.TA,7.114888279,2.514084956,0.205689465,-1.493192525
BCNV-M.TA,122392366.4,7772.312871,18.89605514,0.239937706
BWAY.TA,29438.84725,141.3677204,0.083586512,0.583159936
BRAM.TA,258.3217178,9.481061734,0.060287265,-0.892231404
BRND.TA,23.51512233,3.518127317,0.014802989,0.952935098
BRIL.TA,19487.23365,108.3694101,0.069475845,0.851801189
BRMG.TA,6783.132434,66.53722053,0.052726855,0.759677893
BBLS.TA,48.54682198,5.76696399,0.165343815,-4.418075442
BLGO.TA,1559.66404,32.6692688,0.042676698,0.110293441
CISY.TA,47373.32425,170.1743184,0.122117834,-0.377888244
CLAB.TA,49404.86904,154.4934692,0.150299212,-3.978821788
CAMT.TA,94917995.27,7463.579967,0.212613568,-1.201961147
CNTC.TA,242383.5772,340.8170529,45.25594659,-18.17882152
CPTP.TA,90.82014606,5.156243134,4.331483361,0.443559358
CRSM.TA,199586.5633,345.9016272,0.158781701,-1.419731316
CRSR.TA,107662.39,255.5611386,0.066739744,0.64108379
CRML.TA,50437.38923,197.4715229,0.109880405,-0.715674208
CRMT.TA,51854.36704,125.2400215,5.162932391,0.456814975
CAST.TA,221303.4567,322.7221838,0.042313751,0.79411708
CEL.TA,15137.93469,82.21255121,0.046213838,0.652441561
CTPL5.TA,3540580744,42677.30821,3.507773105,-0.768025334
CBI.TA,12.23417183,2.481371887,0.064484749,-0.109865615
CLIS.TA,175069.1732,302.2645452,0.043635532,0.816503024
CFX.TA,611.625833,17.92278135,0.048519334,0.409307342
CDEV.TA,1122257.773,717.7799559,0.056469732,0.152427369
CGEN.TA,12931.72967,97.72148815,0.150325753,-2.672214474
CMDR.TA,29884526.02,3516.51337,0.10594891,-0.206846062
CNTL-M.TA,1538.121912,34.01500183,0.466905351,-31.00431808
CMCT.TA,1114146.124,840.6544372,6.297972953,-6.652144321
DANH.TA,220173.0628,244.9507354,0.103798906,-36.16341395
DANE.TA,400877.1067,495.6202839,0.014503301,0.977927748
DNYA.TA,3173860.566,1114.021531,0.10251221,-0.506625327
DLEA.TA,27300.47046,143.3676113,0.065355211,0.676474105
DLEKG.TA,5760245.885,2078.62897,0.04941109,0.528332208
DLTI.TA,233578.7645,413.9176537,0.064084803,-0.81673958
DELG.TA,525580.8921,580.2096275,0.032970276,0.738739771
DIMRI.TA,22258561.21,4226.218909,0.126490149,-2.942621102
DIPL.TA,28196.55694,117.3668602,0.032117031,0.933620308
DIFI.TA,4561353.027,1728.755038,0.031985483,0.260340697
DSCT.TA,110526.6287,267.19918,0.119664381,-1.477673501
DISI.TA,258.2475586,13.60140297,0.037745124,0.93303219
DNA.TA,10.63054761,2.565407823,0.032032591,0.925462549
DRAL.TA,35212.99979,155.7337359,0.020113727,0.934123524
DORL.TA,8228.535079,80.67839916,0.062188007,0.542418619
DRSH.TA,8111.326988,73.27048708,0.05122533,-0.304598273
DUNI.TA,8396312.516,1880.90278,0.0751866,0.14544394
ECNR.TA,34995.06114,159.1072883,0.072544972,0.772578621
ECPA-M.TA,0.598431662,0.508372683,0.055998498,0.352128932
ELAL.TA,13707.53144,93.45636036,0.133539159,-0.003420973
ESLT.TA,40728338.68,4952.526042,0.0599491,0.510313247
ELCO.TA,1607578.306,1084.955173,0.090270615,0.280756523
ELTR.TA,46846373.33,4919.214113,0.028767185,0.935533464
ECP.TA,246405.5803,352.6027931,0.042759084,0.809020081
ELCP.TA,857892.4965,615.312791,0.306665921,-52.13902294
ELCRE.TA,73634.03406,232.7837172,0.056057169,0.625080673
ELWS.TA,3771244.403,1694.093575,0.094723388,0.205596416
ELLO.TA,69323.45884,200.8572352,0.03805528,0.728349256
ELMR.TA,5369.183579,44.4319453,0.03726552,0.775679487
ELRN.TA,3527.036653,33.89488133,0.081840132,-1.774296547
ELSPC.TA,8979.886815,67.12440106,0.09918405,0.443052378
EMCO.TA,1064.729988,27.95435811,0.032037756,0.661862733
EMDV.TA,10129.77634,61.22433645,0.02546287,0.729406868
ENDY.TA,38.71115594,4.098534437,0.016645206,0.968569991
ENOG.TA,33236.25925,155.1733915,0.033567132,0.199666518
ENRG.TA,567.1026155,19.90831527,0.015830601,0.795507327
ENLT.TA,21871.64529,117.1615298,0.019810126,0.022936887
ENLV.TA,13494.73811,110.7732112,0.228831172,-3.124590516
EPIT.TA,103587.9087,270.4747473,0.313759428,-1.002878648
EQTL.TA,1517440.466,872.1634353,0.062861269,0.248286715
BCUR.TA,76.54434515,6.95868122,0.273079012,-2.75870505
ETGA.TA,19453.02986,121.69537,0.084267825,0.315093588
EVGN.TA,772713.9381,720.8715679,0.949818839,-1.010444543
EXPO.TA,1167601.468,768.5704117,0.133653801,-0.877450458
FTAL.TA,13617642.86,3230.744411,0.071208909,0.527814337
FEAT.TA,3733.662389,38.22452276,23.00633934,-0.207848966
FIBI.TA,5013237.035,1664.876913,0.100129767,-2.093487117
FIBIH.TA,3952146.608,1378.193129,0.07849941,-1.008748971
FGAS.TA,4663.731937,55.77489716,0.050521262,-1.180665227
FLYS.TA,281.7960145,13.76924382,0.25278894,-6.9618447
FBRT.TA,752357.6202,700.3055529,0.051822009,0.118192259
FRSX.TA,6.101871594,1.882740529,0.187850874,-0.269017261
FORTY.TA,520610.6868,552.9540301,0.018373599,0.901638047
FOX.TA,1528601.48,992.6393388,0.037355054,0.685631215
FRDN.TA,93085.62976,198.9972569,0.043401194,0.73153673
GOSS.TA,178.0544795,8.915255663,0.019219224,0.65105989
GCT.TA,2184.530001,34.31668711,0.028668209,0.924196879
GPGB-M.TA,14690.22403,44.81475833,0.930358987,0.907457737
GLTC.TA,46.50560204,5.945864406,0.357536937,-2.742188205
GMLA.TA,34844.35095,162.1256027,4.832845858,0.061256983
GSFI.TA,720184.6556,774.427262,0.222302339,-3.662738288
GAGR.TA,1669.173172,36.74767669,0.129594136,0.54600252
GAON-M.TA,827620.4523,670.9519282,2.719211632,-0.544759801
GVYM.TA,28871.34134,147.3588113,0.05045668,-0.122398722
GEFR.TA,19.40309053,3.583662266,0.060797766,0.770080906
GNCL.TA,3485.197959,54.71448528,1.002073078,-171.0116298
GNRS.TA,16.04438031,2.737474674,0.045569592,0.788941258
GFC-M.TA,18541.64265,83.74704461,2.619523018,0.926112424
GIBUI.TA,0.010434515,0.082654472,0.108328271,0
GILT.TA,772.2773639,23.16556307,0.012666498,0.976050865
GLTL.TA,94.84055621,8.839351902,0.145764288,-1.105116379
GNGR.TA,6298.218584,70.66898154,0.073674858,-3.045107848
GIX.TA,92.85094921,6.105606575,0.401717295,-7.552972377
GKL.TA,10.00195262,1.924963168,0.028091769,0.8898026
GLRS.TA,11982431.68,2352.547283,0.052390743,-0.119627621
GOLD.TA,311077.276,406.0885099,0.029439964,0.826823612
GOHO.TA,111974.5186,275.1684203,0.133079067,-5.076952328
GOLF.TA,1172.817453,27.40514095,0.056005055,0.900201464
G107.TA,143.602046,9.245101929,0.199716682,-15.68218859
GUID.TA,131433.0428,274.0442979,17.59071757,-1.483630232
HGG.TA,8771.076114,76.81160085,0.044421456,0.812718272
HGGE.TA,4190.904811,54.99025819,0.108683878,0.37038413
HMAM.TA,4342.977997,46.52298637,1.385450013,-0.333710866
MSBI.TA,57.87179169,5.466868579,0.044881882,0.235370184
HAMAT.TA,7511.997098,53.69609306,0.04396604,0.851725658
HARL.TA,223548.0226,278.9718028,0.064003499,0.302006962
HICN.TA,12566.13721,99.31927231,1.000826738,-98.91613911
HLAN.TA,780993.0377,733.592702,0.036295615,0.370551002
HIPR.TA,12056.276,89.8363444,0.057059057,-0.722559417
HRON.TA,354337984.7,9536.265498,0.678248631,0.171051122
HOD.TA,45979.08157,136.9115218,0.033460014,0.821572333
HLMS.TA,3009.916143,42.36403997,0.081449122,-0.529443263
HMGS.TA,68858.02836,231.4674422,2.597515407,-92.05445327
HUMX.TA,1296.030046,30.0761553,0.820487413,-15.44472808
ICL.TA,20318.19726,114.3045694,0.071328432,-1.024496418
ICON.TA,2007.158688,28.59088826,0.065910257,-3.380945202
IDNT.TA,20076.41223,118.0472283,0.635758329,-7.135891387
IDIN.TA,2603938.444,1247.661673,0.099495856,-0.540330054
IDMO.TA,5514.518824,63.98203382,0.178442665,-3.066273366
IES.TA,845712.0419,715.9054878,0.034077039,0.732876703
INTO.TA,43369.08915,178.8281257,0.686932193,-0.689896044
ILDR.TA,3138.840596,46.67020968,0.062153007,-0.190213752
ILX.TA,45659.6031,193.9524224,0.029085116,0.854789217
ISI.TA,2082.549747,32.70800781,0.023100979,0.66627628
IMCO.TA,437904.1188,530.5501342,0.170093731,-5.8774902
IMED.TA,26930.88521,124.008669,20.7199057,-13.16388241
INRM.TA,5067.762435,48.61756909,0.036089168,0.915721903
ININ.TA,1502.987996,35.80112538,0.146025168,-7.137032005
INCR.TA,21512.4604,84.76729057,0.124649636,-0.321005281
INTR.TA,11417880.3,2848.786876,5.123435259,-0.767234524
ISCN.TA,8468.8719,75.55133999,0.053420656,0.134477327
ILDC.TA,23262.78578,129.3714034,0.041532652,0.72458907
ISHI.TA,114312.4188,238.8914496,0.033344289,0.927638838
ISRG.TA,124.6187379,8.360546973,0.044855246,0.562044096
ISRS.TA,52864479.23,4807.031917,0.058435585,0.069430734
ISRO.TA,155680.5408,328.1800924,0.041509694,0.434576243
ISTA.TA,297162.4606,459.6149605,0.057894526,0.747804976
JCFN.TA,12828.00336,89.85565451,0.045361697,-0.07194556
JBNK.TA,38178.39881,121.3548475,0.078997682,-0.076331398
JNGO.TA,21502.88347,82.44514698,3.606594989,-5.002048993
KDST.TA,45809.86913,149.7732301,0.184965612,0.407213174
KAFR.TA,85518.23545,238.7091432,0.092294032,0.140468128
KMDA.TA,2837.837545,41.32638823,0.01960875,0.692138868
